Deepfake_File,Reference_Data,Score,Status,Confidence,Notes
subject_18_chunk_22_lc0_0_16K.wav,chunk_22_lc0.wav,51,succeeded,medium,
subject_18_chunk_22_lc0_1_16K.wav,chunk_22_lc0.wav,58,succeeded,medium,
subject_18_chunk_22_lc0_2_16K.wav,chunk_22_lc0.wav,55,succeeded,medium,
subject_18_chunk_22_lc0_3_16K.wav,chunk_22_lc0.wav,53,succeeded,medium,
subject_18_chunk_22_lc0_4_16K.wav,chunk_22_lc0.wav,49,succeeded,medium,
subject_18_chunk_22_lc0_5_16K.wav,chunk_22_lc0.wav,56,succeeded,medium,
subject_18_chunk_22_lc0_6_16K.wav,chunk_22_lc0.wav,52,succeeded,medium,
subject_18_chunk_22_lc0_7_16K.wav,chunk_22_lc0.wav,54,succeeded,medium,
subject_18_chunk_22_lc0_8_16K.wav,chunk_22_lc0.wav,57,succeeded,medium,
subject_18_chunk_23_lc0_0_16K.wav,chunk_23_lc0.wav,59,succeeded,medium,
subject_18_chunk_23_lc0_1_16K.wav,chunk_23_lc0.wav,61,succeeded,medium,
subject_18_chunk_23_lc0_2_16K.wav,chunk_23_lc0.wav,58,succeeded,medium,
subject_18_chunk_23_lc0_3_16K.wav,chunk_23_lc0.wav,55,succeeded,medium,
subject_18_chunk_23_lc0_4_16K.wav,chunk_23_lc0.wav,54,succeeded,medium,
subject_18_chunk_23_lc0_5_16K.wav,chunk_23_lc0.wav,57,succeeded,medium,
subject_18_chunk_23_lc0_6_16K.wav,chunk_23_lc0.wav,60,succeeded,medium,
subject_18_chunk_23_lc0_7_16K.wav,chunk_23_lc0.wav,56,succeeded,medium,
subject_18_chunk_23_lc0_8_16K.wav,chunk_23_lc0.wav,62,succeeded,medium,BEST_SCORE_LC0
