Subject,Original_File,Collected_File,Score,Status,Confidence,Threshold,Success
3,subject_3_0_0.wav,chunk_11_lc0.wav,63,succeeded,medium,48,True
3,subject_3_0_0.wav,chunk_11_lc1.wav,53,succeeded,medium,48,True
3,subject_3_0_1.wav,chunk_11_lc0.wav,70,succeeded,high,48,True
3,subject_3_0_1.wav,chunk_11_lc1.wav,61,succeeded,medium,48,True
3,subject_3_0_2.wav,chunk_11_lc0.wav,64,succeeded,medium,48,True
3,subject_3_0_2.wav,chunk_11_lc1.wav,67,succeeded,medium,48,True
6,subject_6_0_0.wav,chunk_8_lc0.wav,26,failed,low,48,True
6,subject_6_0_0.wav,chunk_8_lc1.wav,18,failed,low,48,True
6,subject_6_0_1.wav,chunk_8_lc0.wav,67,succeeded,medium,48,True
6,subject_6_0_1.wav,chunk_8_lc1.wav,40,failed,low,48,True
6,subject_6_0_2.wav,chunk_8_lc0.wav,52,succeeded,medium,48,True
6,subject_6_0_2.wav,chunk_8_lc1.wav,29,failed,low,48,True
18,subject_18_0_0.wav,chunk_22_lc0.wav,76,succeeded,high,48,True
18,subject_18_0_0.wav,chunk_23_lc0.wav,74,succeeded,high,48,True
18,subject_18_0_1.wav,chunk_22_lc0.wav,60,succeeded,medium,48,True
18,subject_18_0_1.wav,chunk_23_lc0.wav,65,succeeded,medium,48,True
18,subject_18_0_2.wav,chunk_22_lc0.wav,61,succeeded,medium,48,True
18,subject_18_0_2.wav,chunk_23_lc0.wav,71,succeeded,high,48,True
